title_length,is_satisfied
69,1
66,1
69,1
78,0
58,1
77,0
73,0
58,1
74,0
80,0
54,1
55,1
56,1
48,0
63,1
67,1
51,1
75,0
66,1
45,0
70,1
40,0
76,0
66,1
66,1
79,0
47,0
68,1
67,1
56,1
55,1
77,0
78,0
64,1
66,1
59,1
49,0
63,1
66,1
70,1
59,1
69,1
77,0
66,1
77,0
67,1
45,0
63,1
42,0
44,0
60,1
54,1
56,1
44,0
80,0
66,1
80,0
57,1
50,1
55,1
40,0
75,0
76,0
44,0
45,0
57,1
79,0
70,1
66,1
53,1
66,1
71,0
71,0
77,0
56,1
42,0
49,0
59,1
62,1
70,1
79,0
60,1
67,1
43,0
50,1
75,0
73,0
45,0
71,0
75,0
60,1
64,1
60,1
51,1
42,0
42,0
79,0
58,1
62,1
39,0
39,0
39,0
